user,text,favorite_count,retweet_count,created_at
elonmusk,💯 https://t.co/daIAMcGPZC,8099,1024,2025-03-25 02:33:04+00:00
elonmusk,Pretty much 😂 https://t.co/QfqS9Raqiv,5222,963,2025-03-25 02:30:36+00:00
elonmusk,"Wow, this was just mean &amp; cruel! https://t.co/C4Cdz74v8M",22861,4465,2025-03-25 01:42:10+00:00
elonmusk,Interesting https://t.co/gaa5gRyux6,21487,5315,2025-03-25 01:06:07+00:00
elonmusk,https://t.co/9auy3v0DRR,75655,12091,2025-03-24 22:53:28+00:00
elonmusk,Well said by @SecScottBessent https://t.co/QdI2UrbZ23,53276,10008,2025-03-24 21:12:07+00:00
elonmusk,https://t.co/0YyFXL0md9,172940,36301,2025-03-24 21:00:17+00:00
elonmusk,Fact check: True 🤣🤣 https://t.co/h5613ABkVE,31018,3675,2025-03-24 20:54:58+00:00
elonmusk,"Best place to hide a dead body is page 2 of The Atlantic magazine, because no one ever goes there https://t.co/10A01hObHO",53238,6417,2025-03-24 20:51:52+00:00
elonmusk,"Turns out that we can get radical leftists to burn down any government department if we just put a Tesla logo on it! 

This will be so easy. They’ll never figure it out. https://t.co/F3ISGztHme",87333,13444,2025-03-24 20:43:49+00:00
